Object ID,CNN Segment ID,Code,Cross Street 1,Cross Street 2,Detection Type,Cross Street 3,Supervisor District,Cross Street 4,Equipment Type,Vehicle Actuation,Pedestrian Signal,Pedestrian Actuation,Preemption Priority,Upgraded,Year of Contract,Last Upgraded,New Signals Project,Modification Project,Full Upgrade Project,Beacon Flasher,Funding Source,Red Light Camera,Start Year,CALTRANS Route,Maintained CALTRANS,Percent Caltrans Maintenance,Maintained SF,Percent SF Maintenance,Percent Port Maintenance,Last Edited Date,Geom
3639,25941000,Fix,GOUGH,MCALLISTER, , ,5, ,SIGNAL, ,ALL, , ,MOD AFTER FULL PENDING, , ,NONE,PENDING,DONE,NONE,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7796785302, -122.423554523)"
3640,26489000,Fix,ELLIS,FRANKLIN, , ,5, ,SIGNAL, ,ALL, , ,MOD PENDING, ,1999,NONE,PENDING,NONE, ,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7836240413, -122.422665761)"
3641,25196000,Fix,FRANKLIN,O'FARRELL,OPTICOM,STARR KING,5, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",MOD PENDING, ,1999,NONE,PENDING,NONE,NONE,SALES TAX, ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7845515548, -122.422851303)"
3642,25191000,Fix,EDDY,FRANKLIN, , ,5, ,SIGNAL, ,ALL, , ,FULL DONE, , ,NONE,NONE,DONE,NONE,SALES TAX, ,1961, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7826903136, -122.422476961)"
3643,25185000,Fix,FRANKLIN,TURK, , ,5, ,SIGNAL, ,ALL, , ,FULL DONE, , ,NONE,DONE,DONE,NONE,SALES TAX, ,9999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7817567486, -122.422299862)"
3644,24476000,Fix,FRANKLIN,GOLDEN GATE, , ,5, ,SIGNAL, ,ALL, , ,FULL AFTER MOD DONE, , ,NONE,DONE,DONE,NONE,SALES TAX, ,1959, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7808259923, -122.422100009)"
3645,24467000,Fix,FRANKLIN,MCALLISTER,OPTICOM, ,5, ,SIGNAL, ,ALL, ,FIRE PREEMPT,FULL DONE, , ,NONE,DONE,DONE,NONE,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7798950511, -122.421904787)"
3646,25940000,Fix,FULTON,GOUGH, , ,5, ,SIGNAL, ,PENDING, , ,FULL AFTER MOD PENDING, , ,NONE,DONE,PENDING,NONE,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7787523167, -122.423367242)"
3647,25939000,Fix,GOUGH,GROVE, , ,5, ,SIGNAL, ,PENDING, , ,FULL AFTER MOD PENDING, , ,NONE,DONE,PENDING,NONE,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7778201904, -122.423178769)"
3648,24472000,Fix,FRANKLIN,FULTON, , ,5, ,SIGNAL, ,ALL, , ,FULL DONE, , ,NONE,DONE,DONE,NONE,SALES TAX, ,1978, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7789618096, -122.421722523)"
3649,24461000,Fix,FRANKLIN,GROVE, , ,5, ,SIGNAL, ,ALL, , ,FULL DONE, , ,NONE,DONE,DONE,NONE,SALES TAX, ,9999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7780257048, -122.421533914)"
3650,24462000,Fix,MCALLISTER,POLK, , ,6, ,SIGNAL, ,ALL, , ,FULL DONE,1/02, ,NONE,NONE,DONE,NONE,SALES TAX, ,1948, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.780265078, -122.418611725)"
3651,26044000,Fix,EDDY,FILLMORE,OPTICOM, ,5, ,SIGNAL, ,NONE, ,"TSP,FIRE PREEMPT",NONE, , , , , , , , ,1981, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7814333148, -122.432342199)"
3652,25973000,Fix,FILLMORE,TURK,OPTICOM, ,5, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",FULL DONE, , ,NONE,NONE,DONE,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7805012041, -122.432153607)"
3653,26048000,Fix,STEINER,TURK, , ,5, ,SIGNAL, ,NONE, , ,FULL FUTURE, , ,NONE,NONE,FUTURE,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7802916377, -122.433797763)"
3654,26045000,Fix,GOLDEN GATE,STEINER, , ,5, ,SIGNAL, ,NONE, , ,FULL FUTURE, , ,NONE,NONE,FUTURE,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7793595292, -122.433609156)"
3655,26042000,Fix,FULTON,STEINER, , ,5, ,SIGNAL, ,SOME PHASES, , ,NONE, , , , , , , , ,1975, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.77749531, -122.433231955)"
3656,30757000,Fix,GUERRERO,HERMANN, ,LAGUNA,8,MARKET,SIGNAL, ,ALL, , ,MOD DONE, , , ,DONE, , , , ,1950, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7707526884, -122.424865815)"
3657,30756000,Fix,MARKET,OCTAVIA, ,OCTAVIA RAMPS,"5,6,8", ,SIGNAL, ,ALL, , ,FULL DONE, ,2005,NONE,NONE,DONE,NONE, ,YES-NRT ONLY,1950, , ,25,X,75,,06/21/2017 12:00:00 AM +0000,"(37.7718905883, -122.423409976)"
3658,30758000,Fix,BUCHANAN,DUBOCE,POLICE PANEL SWITCH,MARKET,8, ,SIGNAL, ,ALL, ,TRANSIT PREEMPT,NONE, , , , , , , , ,9999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7696075404, -122.426322654)"
3659,30755000,Fix,MARKET,VALENCIA, , ,"5,6", ,SIGNAL, ,ALL, , ,MOD DONE, ,1995, ,DONE, , ,SALES TAX, ,1995, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7725077613, -122.422632906)"
3660,30753000,Fix,GOUGH,HAIGHT, ,MARKET,"5,6", ,SIGNAL,WIRELESS,ALL, , ,MOD AFTER MOD PENDING, , ,NONE,PENDING,NONE,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7731566878, -122.422242583)"
3661,30749000,Fix,12TH ST,FRANKLIN, ,MARKET,"5,6",PAGE,SIGNAL, ,ALL, , ,MOD DONE, , ,NONE,DONE,NONE,NONE, , ,1950, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7740127499, -122.420711989)"
3662,30746000,Fix,10TH ST,FELL, ,MARKET,6,POLK,SIGNAL, ,ALL, , ,MOD DONE, , ,NONE,DONE,NONE,NONE, , ,1950, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7765458382, -122.417514677)"
3663,30745000,Fix,09TH ST,HAYES, ,LARKIN,6,MARKET,SIGNAL, ,ALL, , ,MOD DONE, , ,NONE,DONE,NONE,NONE, , ,1950, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.777498788, -122.416304917)"
4049,26622000,Fix,POST,SCOTT, , ,5, ,SIGNAL, ,NONE, , ,NONE, , , , , , , , ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7845358616, -122.438032892)"
